id;team_identifier;ans_artifact;ans_correction_method_ica;ans_correction_method_ssp;ans_correction_method_cca;ans_correction_method_asr;ans_correction_method_unknown;ans_correction_method_other;ans_correction_method_desc;ans_ica_algo;ans_ica_algo_desc;ans_bad_comp_sel_visual;ans_bad_comp_sel_thresh;ans_bad_comp_sel_plugin;ans_bad_comp_sel_unknown;ans_bad_comp_sel_other;ans_bad_comp_sel_desc;ans_thresh_method;ans_plugin_desc;ans_artifact_corrected_eyeblink;ans_artifact_corrected_heye_mov;ans_artifact_corrected_muscle;ans_artifact_corrected_cardiac;ans_artifact_corrected_ch_noise;ans_artifact_corrected_line_noise;ans_artifact_corrected_unknown;ans_artifact_corrected_other;ans_artifact_corrected_desc;ans_artifact_other_hp;ans_artifact_comments;time_submitted
81;5a5918ffce98de10;1;1;0;0;0;0;0;;ex_infomax;;1;0;1;0;0;;;SASICA;1;1;1;1;1;0;0;0;;;We used the SASICA plugin for visualizing and double-checking our visual inspection (resulting in fewer rejected ICA components than as suggested by SASICA).;2022-05-12 19:56:49
82;8b7719c916df0670;1;1;0;0;0;0;0;;other;RUNICA;1;0;0;0;0;;;;1;0;0;0;0;0;0;0;;;;2022-05-12 20:37:15
83;2968df3b1e9bd676;1;1;0;0;0;0;0;;infomax;;1;0;0;0;0;;;;1;1;1;0;1;0;0;0;;;;2022-05-12 22:46:55
84;c577d3cdf78548ce;1;0;0;0;0;0;1;Regression with the EOG electrodes;;;0;0;0;0;0;;;;1;0;0;0;0;0;0;0;;;;2022-05-12 23:10:52
85;223dfd3c429d0e79;1;0;0;0;0;0;1;The signal from the EOG channels was regressed out of all other channels.;;;0;0;0;0;0;;;;1;1;0;0;1;0;0;0;;;"To regress EOG channels, we used a custom script based around the ""regress"" function in MATLAB.";2022-05-13 05:05:36
86;Jack Lab;0;0;0;0;0;0;0;;;;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;;;2022-05-13 06:09:07
87;e13e7e07b99d853b;1;1;0;0;0;0;0;;picard;;0;0;1;0;0;;;MNE ICA.find_bads_eog;1;1;0;0;0;0;0;0;;;;2022-05-13 07:09:15
88;2e6f06d6e89db2ca;1;1;0;0;0;0;0;;infomax;;0;0;1;0;0;;;MARA;1;1;1;1;0;0;0;0;;;;2022-05-13 09:44:13
89;f2101fb6fdd45635;1;1;0;0;0;0;0;;fastICA;;0;0;1;0;0;;"Components were identified as bad if their ICLabel ""brain"" label probability was < 0.7 or their dipfit residual variance < 0.15";ICLabel;0;0;0;0;0;0;1;0;;;"IC components were first identified as bad according to their IClabel ""brain"" probability and dipfit residual variance. This automatic identification guided subsequent visual inspection. ";2022-05-13 11:34:44
90;Varuwa;1;1;0;0;0;0;0;;picard;;1;0;0;0;1;Automated eye component detection with EOG channels;;MNE ICA.find_bads_eog;1;0;0;0;0;0;0;0;;;;2022-05-13 12:00:05
91;d7303b34d38b2a18;1;1;0;0;0;0;1;pop_artmwppth and pop_artextval erplab functions for artifact marking, then rejected them manually;ex_infomax;;1;0;1;0;0;;;;1;1;1;1;1;1;0;0;;;"Parameters for the artifact marking functions:

EEG = pop_artmwppth( EEG , 'Channel', [ 1,33, 34 ], 'Flag', 1, 'Threshold', 100, 'Twindow', [ -999.2 1998.0], 'Windowsize', 200, 'Windowstep', 100 );";2022-05-13 12:04:54
